name	aboundance
gene_100000|GeneMark.hmm|645_nt|+|1|645|>k141_68176|flag=1|multi=4.0000|len=756	1.0145273286432472e-05
gene_100004|GeneMark.hmm|825_nt|+|2281|3105|>k141_61785|flag=1|multi=5.0000|len=3694	1.0537361142912956e-06
gene_100012|GeneMark.hmm|1191_nt|-|477|1667|>k141_68184|flag=1|multi=4.4774|len=2158	2.944076756035818e-06
gene_100012|GeneMark.hmm|597_nt|-|202|798|>k141_77417|flag=1|multi=3.0000|len=800	8.2001269044473e-06
gene_100016|GeneMark.hmm|1620_nt|+|135|1754|>k141_68186|flag=1|multi=12.0000|len=1861	1.8653652422317403e-06
gene_100021|GeneMark.hmm|1860_nt|-|3|1862|>k141_60093|flag=1|multi=3.0000|len=1863	4.392925127382482e-06
gene_100027|GeneMark.hmm|546_nt|-|3|548|>k141_77431|flag=1|multi=4.0000|len=548	5.970530355610351e-06
gene_100028|GeneMark.hmm|765_nt|-|1|765|>k141_64435|flag=1|multi=5.0000|len=1319	4.276928934476434e-06
gene_100035|GeneMark.hmm|933_nt|+|1|933|>k141_61805|flag=1|multi=5.0000|len=1550	8.767016706523237e-06
gene_100058|GeneMark.hmm|1050_nt|-|158|1207|>k141_68089|flag=1|multi=6.0000|len=2619	8.13218881907491e-06
gene_100059|GeneMark.hmm|765_nt|-|2|766|>k141_77454|flag=1|multi=4.0000|len=767	1.494970916718101e-05
gene_100066|GeneMark.hmm|1440_nt|+|1401|2840|>k141_64644|flag=1|multi=6.0000|len=2879	6.336330454862535e-06
gene_100099|GeneMark.hmm|453_nt|+|883|1335|>k141_61847|flag=1|multi=4.0000|len=4557	2.4508244455988556e-06
gene_100102|GeneMark.hmm|1347_nt|+|2185|3531|>k141_61847|flag=1|multi=4.0000|len=4557	3.706429492919255e-06
gene_100110|GeneMark.hmm|1062_nt|+|175|1236|>k141_68259|flag=1|multi=5.0000|len=3717	1.0588513381470784e-05
gene_100111|GeneMark.hmm|765_nt|+|1229|1993|>k141_68259|flag=1|multi=5.0000|len=3717	3.2833423330401126e-06
